Time,Status,Message
0 days 00:00:00,1,AllClear
0 days 00:03:58.458000,2,Yellow
0 days 00:04:02.260000,1,AllClear
0 days 00:04:26.777000,2,Yellow
0 days 00:04:32.708000,1,AllClear
0 days 00:04:36.943000,2,Yellow
0 days 00:04:40.020000,1,AllClear
0 days 00:17:11.443000,2,Yellow
0 days 00:18:27.436000,6,VSCDeployed
0 days 00:19:40.972000,7,VSCEnding
0 days 00:19:53.773000,1,AllClear
0 days 01:02:51.646000,2,Yellow
0 days 01:03:42.526000,6,VSCDeployed
0 days 01:06:26.999000,7,VSCEnding
0 days 01:06:39.478000,1,AllClear
